timestamp,value_Luftfeuchte,value_Lautstärke,value_Temperatur
2025-03-11 00:00:00+00:00,83.995,44.7925,5.6625
2025-03-11 00:01:00+00:00,83.83714,43.021427,5.66
2025-03-11 00:02:00+00:00,83.598,43.15,5.6400003
2025-03-11 00:03:00+00:00,83.723335,43.235,5.5916667
2025-03-11 00:04:00+00:00,83.76333,42.995,5.568333
2025-03-11 00:05:00+00:00,83.83667,43.073334,5.56
2025-03-11 00:06:00+00:00,84.011665,45.065002,5.536667
2025-03-11 00:07:00+00:00,84.153336,44.365,5.5033336
2025-03-11 00:08:00+00:00,84.19,43.048336,5.5033336
2025-03-11 00:09:00+00:00,84.082,43.052002,5.5059996
2025-03-11 00:10:00+00:00,84.084,42.892002,5.472
2025-03-11 00:11:00+00:00,84.30666,42.88667,5.4533334
2025-03-11 00:12:00+00:00,84.48,42.806667,5.4133334
2025-03-11 00:13:00+00:00,84.59167,42.940002,5.4133334
2025-03-11 00:14:00+00:00,84.62667,43.396667,5.3933334
2025-03-11 00:15:00+00:00,84.74,46.323334,5.4150004
2025-03-11 00:16:00+00:00,84.89666,43.13,5.376667
2025-03-11 00:17:00+00:00,84.78333,44.149998,5.386667
2025-03-11 00:18:00+00:00,84.81833,43.74667,5.388333
2025-03-11 00:19:00+00:00,84.731995,43.342003,5.378
2025-03-11 00:20:00+00:00,84.7,43.425,5.396667
2025-03-11 00:21:00+00:00,84.56167,42.993332,5.395
2025-03-11 00:22:00+00:00,84.42167,43.153336,5.4283333
2025-03-11 00:23:00+00:00,84.340004,42.940002,5.4300003
2025-03-11 00:24:00+00:00,84.246666,42.966663,5.4266663
2025-03-11 00:25:00+00:00,84.1,42.78,5.443333
2025-03-11 00:26:00+00:00,83.83833,43.048336,5.44
2025-03-11 00:27:00+00:00,83.689995,44.536,5.4519997
2025-03-11 00:28:00+00:00,83.70333,43.156666,5.4583335
2025-03-11 00:29:00+00:00,83.67,42.941666,5.5033336
2025-03-11 00:30:00+00:00,83.57833,42.806667,5.49
2025-03-11 00:31:00+00:00,83.57833,44.684998,5.463333
2025-03-11 00:32:00+00:00,83.67,42.940002,5.4816666
2025-03-11 00:33:00+00:00,83.75,44.536,5.44
2025-03-11 00:34:00+00:00,83.88334,43.263336,5.4599996
2025-03-11 00:35:00+00:00,83.86,42.86,5.431667
2025-03-11 00:36:00+00:00,83.71667,45.895,5.4283333
2025-03-11 00:37:00+00:00,83.79666,43.13,5.4216666
2025-03-11 00:38:00+00:00,83.73,43.155,5.4266663
2025-03-11 00:39:00+00:00,83.63833,42.861668,5.41
2025-03-11 00:40:00+00:00,83.89333,42.941666,5.411667
2025-03-11 00:41:00+00:00,84.25167,47.131668,5.395
2025-03-11 00:42:00+00:00,84.69833,42.460003,5.388334
2025-03-11 00:43:00+00:00,84.755,42.966663,5.375
2025-03-11 00:44:00+00:00,84.74,42.86,5.356
2025-03-11 00:45:00+00:00,84.895,42.888336,5.3216667
2025-03-11 00:46:00+00:00,85.14001,45.921665,5.3033333
2025-03-11 00:47:00+00:00,85.46833,43.236664,5.221667
2025-03-11 00:48:00+00:00,85.94166,43.100002,5.1583333
2025-03-11 00:49:00+00:00,86.08666,42.940002,5.1349998
2025-03-11 00:50:00+00:00,86.21001,43.346,5.132
2025-03-11 00:51:00+00:00,86.28,43.506668,5.1233335
2025-03-11 00:52:00+00:00,86.40334,46.083332,5.1116667
2025-03-11 00:53:00+00:00,86.348335,43.155,5.113333
2025-03-11 00:54:00+00:00,86.44,43.423336,5.096667
2025-03-11 00:55:00+00:00,86.59667,42.995,5.095
2025-03-11 00:56:00+00:00,86.83667,42.86,5.0783334
2025-03-11 00:57:00+00:00,86.993324,42.72667,5.085
2025-03-11 00:58:00+00:00,86.96,43.15,5.084
2025-03-11 00:59:00+00:00,86.92333,42.7,5.0733333
2025-03-11 01:00:00+00:00,86.886665,42.725002,5.055
2025-03-11 01:01:00+00:00,87.28333,44.09667,5.076667
2025-03-11 01:02:00+00:00,87.47,42.83,5.058
2025-03-11 01:03:00+00:00,87.47,42.809998,5.045
2025-03-11 01:04:00+00:00,87.369995,42.646667,5.0416665
2025-03-11 01:05:00+00:00,87.28666,42.486668,5.045
2025-03-11 01:06:00+00:00,87.338,42.636,4.9900002
2025-03-11 01:07:00+00:00,87.27,42.755,4.985
2025-03-11 01:08:00+00:00,87.238335,42.835003,4.9966664
2025-03-11 01:09:00+00:00,87.16,42.675,4.9966664
2025-03-11 01:10:00+00:00,87.144,42.926003,4.998
2025-03-11 01:11:00+00:00,87.18,42.62,4.9900002
2025-03-11 01:12:00+00:00,87.19666,42.914997,4.9716663
2025-03-11 01:13:00+00:00,87.29,44.418335,4.9616666
2025-03-11 01:14:00+00:00,87.22167,42.62,4.9516664
2025-03-11 01:15:00+00:00,87.34333,42.593334,4.938333
2025-03-11 01:16:00+00:00,87.72,42.62,4.905
2025-03-11 01:17:00+00:00,88.11667,42.673336,4.866667
2025-03-11 01:18:00+00:00,88.42999,42.646667,4.8316665
2025-03-11 01:19:00+00:00,88.81,45.00833,4.7533336
2025-03-11 01:20:00+00:00,88.972,43.182,4.718
2025-03-11 01:21:00+00:00,89.095,43.505,4.7000003
2025-03-11 01:22:00+00:00,89.21,43.183334,4.6916666
2025-03-11 01:23:00+00:00,89.46833,43.666668,4.6666665
2025-03-11 01:24:00+00:00,89.761665,42.753338,4.636667
